snapshot_date,id,matricula,marca,modelo_versao,ano,combustivel,km,preco_eur,potencia_cv,transmissao,stand_marca,stand_cidade,distrito,data_matricula,url
2026-07-08,2772236367,BG25AN,Opel,Mokka 1.2T 100cv GS,2023,Gasolina,34277,18950,100,Manual,Opel,Évora,Évora,21/12/2023,https://www.amatoscar.pt/carro-usado/opel-mokka-1-2t-100cv-gs-2772236367/
2026-07-08,2772230417,BJ40UA,Hyundai,Kauai 1.0 T-GDi Premium MY25 (TT),2024,Gasolina,30425,24250,100,Manual,Hyundai,Évora,Évora,23/05/2024,https://www.amatoscar.pt/carro-usado/hyundai-kauai-1-0-t-gdi-premium-my25-tt-2772230417/
2026-07-08,2772230411,BO69NH,Hyundai,Bayon 1.0 T-GDi DCT Premium MY25,2024,Gasolina,28345,20750,100,Automática,Hyundai,Évora,Évora,30/10/2024,https://www.amatoscar.pt/carro-usado/hyundai-bayon-1-0-t-gdi-dct-premium-my25-2772230411/
2026-07-08,2772182692,BH02XO,SEAT,Arona 1.0 TSI STYLE DSG 7v,2024,Gasolina,36136,19950,115,Automática,Seat,Évora,Évora,18/03/2024,https://www.amatoscar.pt/carro-usado/seat-arona-1-0-tsi-style-dsg-7v-2772182692/
2026-07-08,2772161277,BI57MQ,BMW,Serie 3 320d Auto 48V,2024,Diesel,52869,39950,190,Automática,BMW,Évora,Évora,28/03/2024,https://www.amatoscar.pt/carro-usado/bmw-serie-3-320d-auto-48v-2772161277/
2026-07-08,2772161274,BH30PB,BMW,Serie 1 116d,2024,Diesel,37923,29450,116,Automática,BMW,Évora,Évora,29/02/2024,https://www.amatoscar.pt/carro-usado/bmw-serie-1-116d-2772161274/
2026-07-08,2772161270,BL89CD,BMW,Serie 1 116d,2024,Diesel,42832,29450,116,Manual,BMW,Évora,Évora,31/05/2024,https://www.amatoscar.pt/carro-usado/bmw-serie-1-116d-2772161270/
2026-07-08,2772161268,BI05MQ,BMW,Serie 1 116d,2024,Diesel,38879,30450,116,Manual,BMW,Évora,Évora,28/03/2024,https://www.amatoscar.pt/carro-usado/bmw-serie-1-116d-2772161268/
2026-07-08,2771949160,AR52AR,Audi,A6 40 TDI S tronic Avant,2022,Diesel,88867,41450,204,Automática,Audi,Évora,Évora,23/05/2022,https://www.amatoscar.pt/carro-usado/audi-a6-40-tdi-s-tronic-avant-2771949160/
2026-07-08,2771949048,AX02RG,BMW,i4 eDrive40,2023,Eletrico,37166,49950,340,Automática,BMW,Évora,Évora,22/02/2023,https://www.amatoscar.pt/carro-usado/bmw-i4-edrive40-2771949048/
2026-07-08,2772788267,50QP29,Volkswagen,Golf 2.0 TDI 150 cv CONFORTLINE,2015,Diesel,125966,14950,150,Manual,FIAT,Portalegre,Portalegre,26/11/2015,https://www.amatoscar.pt/carro-usado/volkswagen-golf-2-0-tdi-150-cv-confortline-2772788267/
2026-07-08,2772819550,BU82PS,Opel,Mokka 1.2T 136cv GS,2025,Gasolina,11193,21950,136,Manual,Opel,Beja,Beja,26/05/2025,https://www.amatoscar.pt/carro-usado/opel-mokka-1-2t-136cv-gs-2772819550/
2026-07-08,2772794539,BU88UH,Opel,Mokka 1.2T 136cv GS,2025,Gasolina,26002,21450,136,Manual,Opel,Beja,Beja,30/06/2025,https://www.amatoscar.pt/carro-usado/opel-mokka-1-2t-136cv-gs-2772794539/
2026-07-08,2772784034,AG77FQ,Mercedes Benz,Classe A A 160 Manual,2021,Gasolina,105520,23450,109,Manual,Citroën,Beja,Beja,08/04/2021,https://www.amatoscar.pt/carro-usado/mercedes-benz-classe-a-a-160-manual-2772784034/
2026-07-08,2772872625,BT62GN,Kia,Stonic 1.0 T-GDi 6MT DRIVE,2025,Gasolina,29270,17950,100,Manual,FIAT,Castelo Branco,Castelo Branco,13/05/2025,https://www.amatoscar.pt/carro-usado/kia-stonic-1-0-t-gdi-6mt-drive-2772872625/
2026-07-08,2772872620,BT11GN,Kia,Stonic 1.2 MPi 5MT DYNAMIC,2025,Gasolina,,17450,79,Manual,FIAT,Castelo Branco,Castelo Branco,13/05/2025,https://www.amatoscar.pt/carro-usado/kia-stonic-1-2-mpi-5mt-dynamic-2772872620/
2026-07-08,2772820634,BT11CS,Kia,XCeed 1.0 T-GDi 6MT DYNAMIC,2025,Gasolina,18604,20750,100,Manual,FIAT,Castelo Branco,Castelo Branco,07/05/2025,https://www.amatoscar.pt/carro-usado/kia-xceed-1-0-t-gdi-6mt-dynamic-2772820634/
2026-07-08,2772235429,BJ33XJ,Fiat,Panda PANDA 1.0 Hybrid 70cv,2024,Híbrido,40817,12950,70,Manual,FIAT,Guarda,Guarda,28/05/2024,https://www.amatoscar.pt/carro-usado/fiat-panda-panda-1-0-hybrid-70cv-2772235429/
2026-07-08,2772235428,BI43HQ,Fiat,Panda PANDA 1.0 Hybrid 70cv,2024,Híbrido,39374,12950,70,Manual,FIAT,Guarda,Guarda,27/03/2024,https://www.amatoscar.pt/carro-usado/fiat-panda-panda-1-0-hybrid-70cv-2772235428/
2026-07-08,2772235427,BI73HP,Fiat,Panda PANDA 1.0 Hybrid 70cv,2024,Híbrido,40325,12950,70,Manual,FIAT,Guarda,Guarda,27/03/2024,https://www.amatoscar.pt/carro-usado/fiat-panda-panda-1-0-hybrid-70cv-2772235427/
2026-07-08,2772879145,BJ61RB,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta TT,2024,Gasolina,50141,20950,114,Manual,Nissan,Évora,Évora,20/05/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-tt-2772879145/
2026-07-08,2772879140,BG24UG,Nissan,JUKE 1.0 DIG-T 114cv Acenta DCT,2024,Gasolina,38326,20950,114,Automática,Nissan,Évora,Évora,31/01/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-acenta-dct-2772879140/
2026-07-08,2772786914,BF60JE,Isuzu,D-Max III 1.9 DDI,2023,Gasolina,50171,30750,164,Manual,BYD,Évora,Évora,24/11/2023,https://www.amatoscar.pt/carro-usado/isuzu-d-max-iii-1-9-ddi-2772786914/
2026-07-08,2772325802,BJ93RA,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta DCT,2024,Gasolina,49150,21950,114,Automática,Nissan,Évora,Évora,20/05/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-dct-2772325802/
2026-07-08,2772325801,BJ46RB,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta DCT,2024,Gasolina,40372,21950,114,Automática,Nissan,Évora,Évora,20/05/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-dct-2772325801/
2026-07-08,2772296615,BQ29DF,BYD,Seal U DM-i SEAL U DM-i Design,2025,Híbrido,25919,42450,324,Manual,BYD,Évora,Évora,06/01/2025,https://www.amatoscar.pt/carro-usado/byd-seal-u-dm-i-seal-u-dm-i-design-2772296615/
2026-07-08,2772282192,BI70DG,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 N-Connecta LED + S,2024,Híbrido,29002,28950,140,Manual,Nissan,Évora,Évora,25/03/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-n-connecta-led-s-2772282192/
2026-07-08,2772282191,BG90UF,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 N-Connecta,2024,Híbrido,50232,28950,140,Manual,Nissan,Évora,Évora,31/01/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-n-connecta-2772282191/
2026-07-08,2772282189,BH73ME,Nissan,JUKE 1.0 DIG-T 114cv Acenta,2024,Gasolina,39817,20950,114,Manual,Nissan,Évora,Évora,28/02/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-acenta-2772282189/
2026-07-08,2772280634,BH69MF,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta TT DCT,2024,Gasolina,35173,21950,114,Automática,Nissan,Évora,Évora,28/02/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-tt-dct-2772280634/
2026-07-08,2772280632,BH64SO,Nissan,Qashqai 1.3 158cv mHEV AT 4×2 N-Connecta LED + S,2024,Híbrido,32500,28950,158,Automática,Nissan,Évora,Évora,11/03/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-158cv-mhev-at-4x2-n-connecta-led-s-2772280632/
2026-07-08,2772280630,BI21DJ,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 Acenta,2024,Gasolina,30400,25950,140,Manual,Nissan,Évora,Évora,25/03/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-acenta-2772280630/
2026-07-08,2772280622,BG19UH,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 Acenta,2024,Gasolina,45571,25950,140,Manual,Nissan,Évora,Évora,31/01/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-acenta-2772280622/
2026-07-08,2772279780,BI40DH,Nissan,Qashqai 1.3 158cv mHEV AT 4×2 N-Connecta LED + S,2024,Híbrido,52010,28950,158,Automática,Nissan,Évora,Évora,25/03/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-158cv-mhev-at-4x2-n-connecta-led-s-2772279780/
2026-07-08,2772179075,BH54SN,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 N-Connecta,2024,Híbrido,31956,28950,140,Manual,Nissan,Évora,Évora,11/03/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-n-connecta-2772179075/
2026-07-08,2772179068,BH48SO,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 N-Connecta,2024,Híbrido,29134,28950,140,Manual,Nissan,Évora,Évora,11/03/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-n-connecta-2772179068/
2026-07-08,2772132344,BB69IV,Nissan,Qashqai 1.3 DIG-T 140CV mHEV 6MT N-Connecta,2023,Híbrido,24364,26990,140,Manual,Nissan,Évora,Évora,31/05/2023,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-dig-t-140cv-mhev-6mt-n-connecta-2772132344/
2026-07-08,2772350129,BU76RB,Fiat,600 600 Hybrid 1.2 145cv DCT POP,2025,Híbrido,11270,22450,145,Manual,FIAT,Guarda,Guarda,18/06/2025,https://www.amatoscar.pt/carro-usado/fiat-600-600-hybrid-1-2-145cv-dct-pop-2772350129/
2026-07-08,2772350127,BU85RC,Fiat,600 600 Hybrid 1.2 145cv DCT POP,2025,Híbrido,15417,22250,145,Automática,FIAT,Guarda,Guarda,28/06/2025,https://www.amatoscar.pt/carro-usado/fiat-600-600-hybrid-1-2-145cv-dct-pop-2772350127/
2026-07-08,2772249895,AV70MV,Volkswagen,"Crafter 35 Carg L3H3 11,3M3 2.0TDI Diant",2022,Diesel,204346,23450,140,Manual,Citroën,Guarda,Guarda,29/12/2022,https://www.amatoscar.pt/carro-usado/volkswagen-crafter-35-carg-l3h3-113m3-2-0tdi-diant-2772249895/
2026-07-08,2772207461,AZ34RJ,Fiat,Tipo 1.3 Multijet 95cv Tipo,2023,Diesel,67143,16450,95,Manual,FIAT,Guarda,Guarda,30/03/2023,https://www.amatoscar.pt/carro-usado/fiat-tipo-1-3-multijet-95cv-tipo-2772207461/
2026-07-08,2772207457,AX17VG,Fiat,Tipo 1.3 Multijet 95cv Tipo,2023,Diesel,68452,16450,95,Manual,FIAT,Guarda,Guarda,28/02/2023,https://www.amatoscar.pt/carro-usado/fiat-tipo-1-3-multijet-95cv-tipo-2772207457/
2026-07-08,2772189788,BA50AB,Ford,Focus 1.0 ECOBOOST 125cv MHEV ACTIVE,2023,Gasolina,92903,17450,125,Manual,Citroën,Guarda,Guarda,14/04/2023,https://www.amatoscar.pt/carro-usado/ford-focus-1-0-ecoboost-125cv-mhev-active-2772189788/
