snapshot_date,id,matricula,marca,modelo_versao,ano,combustivel,km,preco_eur,potencia_cv,transmissao,stand_marca,stand_cidade,distrito,data_matricula,url,registo_completo
2026-09-14,2772895496,BS40LQ,Kia,Sportage 1.6 T-GDi 6MT DRIVE,2025,Gasolina,,29950,160,Manual,KIA,Fundão,Castelo Branco,08/04/2025,https://www.amatoscar.pt/carro-usado/kia-sportage-1-6-t-gdi-6mt-drive-2772895496/,1
2026-09-14,2772789746,BC72SM,Toyota,Yaris 1.0 Comfort Plus,2023,Gasolina,29053,17950,72,Manual,KIA,Fundão,Castelo Branco,27/07/2023,https://www.amatoscar.pt/carro-usado/toyota-yaris-1-0-comfort-plus-2772789746/,1
2026-09-14,2772343751,BS04IN,Kia,XCeed 1.0 T-GDi 6MT DYNAMIC,2025,Gasolina,26108,20750,100,Manual,KIA,Fundão,Castelo Branco,03/04/2025,https://www.amatoscar.pt/carro-usado/kia-xceed-1-0-t-gdi-6mt-dynamic-2772343751/,1
2026-09-14,2772930490,BL58UQ,Hyundai,i20 1.2 MPi Comfort MY25,2024,Gasolina,42899,16450,78,Manual,Hyundai,Évora,Évora,28/06/2024,https://www.amatoscar.pt/carro-usado/hyundai-i20-1-2-mpi-comfort-my25-2772930490/,1
2026-09-14,2772926179,BN04SU,Opel,Mokka 50 kwh Edition AT,2024,Eletrico,20408,23950,136,Automática,Opel,Évora,Évora,30/09/2024,https://www.amatoscar.pt/carro-usado/opel-mokka-50-kwh-edition-at-2772926179/,1
2026-09-14,2772922054,CA28IZ,BYD,Seal U DM-i SEAL U DM-i Comfort,2025,Híbrido,12879,39950,218,Automática,Comfort,Évora,Évora,24/11/2025,https://www.amatoscar.pt/carro-usado/byd-seal-u-dm-i-seal-u-dm-i-comfort-2772922054/,1
2026-09-14,2772914154,BP54ZJ,Hyundai,Bayon 1.0 T-GDi Premium MY25,2024,Gasolina,15436,19750,100,Manual,Hyundai,Évora,Évora,27/12/2024,https://www.amatoscar.pt/carro-usado/hyundai-bayon-1-0-t-gdi-premium-my25-2772914154/,1
2026-09-14,2772912928,02XH69,Audi,Q5 2.0 TDI 190cv quattro S tronic,2019,Diesel,,26950,190,Automática,Audi,Évora,Évora,27/03/2019,https://www.amatoscar.pt/carro-usado/audi-q5-2-0-tdi-190cv-quattro-s-tronic-2772912928/,1
2026-09-14,2772908557,29UX53,BMW,X2 sDrive18d Auto,2018,Diesel,193290,20950,150,Automática,BMW,Évora,Évora,12/06/2018,https://www.amatoscar.pt/carro-usado/bmw-x2-sdrive18d-auto-2772908557/,1
2026-09-14,2772904398,CE77GC,BMW,i5 xDrive40,2026,Eletrico,8089,67950,394,Automática,BMW,Évora,Évora,30/01/2026,https://www.amatoscar.pt/carro-usado/bmw-i5-xdrive40-2772904398/,1
2026-09-14,2772899002,44XO18,Mini,Countryman Cooper D Auto,2019,Diesel,139256,20950,150,Automática,Auto,Évora,Évora,17/05/2019,https://www.amatoscar.pt/carro-usado/mini-countryman-cooper-d-auto-2772899002/,1
2026-09-14,2772894310,BV00OT,Hyundai,Inster EV 360km Style Plus MY24,2025,Eletrico,5808,23450,115,Automática,Hyundai,Évora,Évora,29/07/2025,https://www.amatoscar.pt/carro-usado/hyundai-inster-ev-360km-style-plus-my24-2772894310/,1
2026-09-14,2772828615,BT24US,Hyundai,i10 1.0 MPi Comfort MY25 (TT),2025,Gasolina,14477,17450,62,Manual,Hyundai,Évora,Évora,30/05/2025,https://www.amatoscar.pt/carro-usado/hyundai-i10-1-0-mpi-comfort-my25-tt-2772828615/,1
2026-09-14,2772813981,BR62QM,BMW,Serie 1 116 Auto,2025,Gasolina,,32450,122,Automática,BMW,Évora,Évora,13/03/2025,https://www.amatoscar.pt/carro-usado/bmw-serie-1-116-auto-2772813981/,1
2026-09-14,2772813979,BR59QN,BMW,X2 sDrive18d,2025,Diesel,46457,48950,150,Automática,BMW,Évora,Évora,13/03/2025,https://www.amatoscar.pt/carro-usado/bmw-x2-sdrive18d-2772813979/,1
2026-09-14,2772804685,BO85SG,Hyundai,Bayon 1.0 T-GDi Premium MY25 (TT),2024,Gasolina,28573,20750,100,Manual,Hyundai,Évora,Évora,08/11/2024,https://www.amatoscar.pt/carro-usado/hyundai-bayon-1-0-t-gdi-premium-my25-tt-2772804685/,1
2026-09-14,2772803974,BR71QN,BMW,Serie 3 330e Auto,2025,Híbrido,45052,45450,292,Automática,BMW,Évora,Évora,13/03/2025,https://www.amatoscar.pt/carro-usado/bmw-serie-3-330e-auto-2772803974/,1
2026-09-14,2772791346,BJ30VU,Hyundai,i20 1.2 MPi Comfort MY24,2024,Gasolina,36164,16450,84,Manual,Hyundai,Évora,Évora,27/05/2024,https://www.amatoscar.pt/carro-usado/hyundai-i20-1-2-mpi-comfort-my24-2772791346/,1
2026-09-14,2772789743,BR09JZ,BMW,Serie 3 320d Auto 48V,2025,Diesel,40539,45450,190,Automática,BMW,Évora,Évora,28/02/2025,https://www.amatoscar.pt/carro-usado/bmw-serie-3-320d-auto-48v-2772789743/,1
2026-09-14,2772788272,AZ37GG,Hyundai,Bayon 1.0 T-GDi Premium MY21,2023,Gasolina,68465,16450,100,Manual,Hyundai,Évora,Évora,16/03/2023,https://www.amatoscar.pt/carro-usado/hyundai-bayon-1-0-t-gdi-premium-my21-2772788272/,1
2026-09-14,2772343747,AN34RV,Peugeot,3008 Allure HYBRID 225cv e-EAT8,2022,Híbrido,134669,22450,225,Automática,,Évora,Évora,31/01/2022,https://www.amatoscar.pt/carro-usado/peugeot-3008-allure-hybrid-225cv-e-eat8-2772343747/,1
2026-09-14,2772327677,BH18CO,Hyundai,Tucson 1.6 TGDi Premium,2024,Gasolina,35818,28450,150,Manual,Hyundai,Évora,Évora,14/02/2024,https://www.amatoscar.pt/carro-usado/hyundai-tucson-1-6-tgdi-premium-2772327677/,1
2026-09-14,2772239099,BI26VB,Nissan,JUKE 1.0 DIG-T 114cv Tekna,2024,Gasolina,35204,21250,114,Manual,Tekna,Évora,Évora,16/04/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-tekna-2772239099/,1
2026-09-14,2772237655,15TP34,Peugeot,2008 Allure 1.2 PureTech 82 CVM5,2017,Gasolina,136911,10450,82,Manual,,Évora,Évora,26/09/2017,https://www.amatoscar.pt/carro-usado/peugeot-2008-allure-1-2-puretech-82-cvm5-2772237655/,1
2026-09-14,2772236367,BG25AN,Opel,Mokka 1.2T 100cv GS,2023,Gasolina,34277,18950,100,Manual,Opel,Évora,Évora,21/12/2023,https://www.amatoscar.pt/carro-usado/opel-mokka-1-2t-100cv-gs-2772236367/,1
2026-09-14,2772230411,BO69NH,Hyundai,Bayon 1.0 T-GDi DCT Premium MY25,2024,Gasolina,28345,20750,100,Automática,Hyundai,Évora,Évora,30/10/2024,https://www.amatoscar.pt/carro-usado/hyundai-bayon-1-0-t-gdi-dct-premium-my25-2772230411/,1
2026-09-14,2772182692,BH02XO,SEAT,Arona 1.0 TSI STYLE DSG 7v,2024,Gasolina,36675,19450,115,Automática,Seat,Évora,Évora,18/03/2024,https://www.amatoscar.pt/carro-usado/seat-arona-1-0-tsi-style-dsg-7v-2772182692/,1
2026-09-14,2772161274,BH30PB,BMW,Serie 1 116d,2024,Diesel,38167,28950,116,Automática,BMW,Évora,Évora,29/02/2024,https://www.amatoscar.pt/carro-usado/bmw-serie-1-116d-2772161274/,1
2026-09-14,2772161270,BL89CD,BMW,Serie 1 116d,2024,Diesel,46489,28950,116,Manual,BMW,Évora,Évora,31/05/2024,https://www.amatoscar.pt/carro-usado/bmw-serie-1-116d-2772161270/,1
2026-09-14,2771949160,AR52AR,Audi,A6 40 TDI S tronic Avant,2022,Diesel,93673,39950,204,Automática,Audi,Évora,Évora,23/05/2022,https://www.amatoscar.pt/carro-usado/audi-a6-40-tdi-s-tronic-avant-2771949160/,1
2026-09-14,2771949048,AX02RG,BMW,i4 eDrive40,2023,Eletrico,41294,43950,340,Automática,BMW,Évora,Évora,22/02/2023,https://www.amatoscar.pt/carro-usado/bmw-i4-edrive40-2771949048/,1
2026-09-14,2772926163,AL79RL,Peugeot,Partner 1.5 BlueHDi 100cv Asphalt Standard,2021,Diesel,133722,14450,102,Manual,Citroën,Beja,Beja,02/12/2021,https://www.amatoscar.pt/carro-usado/peugeot-partner-1-5-bluehdi-100cv-asphalt-standard-2772926163/,1
2026-09-14,2772912905,CB22JX,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta,2025,Gasolina,3805,24450,114,Manual,Citroën,Beja,Beja,30/12/2025,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-2772912905/,1
2026-09-14,2772794539,BU88UH,Opel,Mokka 1.2T 136cv GS,2025,Gasolina,27371,21450,136,Manual,Opel,Beja,Beja,30/06/2025,https://www.amatoscar.pt/carro-usado/opel-mokka-1-2t-136cv-gs-2772794539/,1
2026-09-14,2772872620,BT11GN,Kia,Stonic 1.2 MPi 5MT DYNAMIC,2025,Gasolina,36243,17250,79,Manual,FIAT,Castelo Branco,Castelo Branco,13/05/2025,https://www.amatoscar.pt/carro-usado/kia-stonic-1-2-mpi-5mt-dynamic-2772872620/,1
2026-09-14,2772820634,BT11CS,Kia,XCeed 1.0 T-GDi 6MT DYNAMIC,2025,Gasolina,19181,20750,100,Manual,FIAT,Castelo Branco,Castelo Branco,07/05/2025,https://www.amatoscar.pt/carro-usado/kia-xceed-1-0-t-gdi-6mt-dynamic-2772820634/,1
2026-09-14,2772791321,BP87PZ,Kia,Stonic 1.0 T-GDi ISG DRIVE,2024,Gasolina,12249,18750,100,Manual,Citroën,Guarda,Guarda,16/12/2024,https://www.amatoscar.pt/carro-usado/kia-stonic-1-0-t-gdi-isg-drive-2772791321/,1
2026-09-14,2772235429,BJ33XJ,Fiat,Panda PANDA 1.0 Hybrid 70cv,2024,Híbrido,41500,12750,70,Manual,FIAT,Guarda,Guarda,28/05/2024,https://www.amatoscar.pt/carro-usado/fiat-panda-panda-1-0-hybrid-70cv-2772235429/,1
2026-09-14,2772926798,15VZ32,Ford,EcoSport 1.5 TDCi 100 ST-Line Black Edition,2019,Diesel,68422,13450,125,Manual,BYD,Évora,Évora,18/01/2019,https://www.amatoscar.pt/carro-usado/ford-ecosport-1-5-tdci-100-st-line-black-edition-2772926798/,1
2026-09-14,2772920069,BR31PF,Nissan,Qashqai NOVO QASHQAI DIG-T (140 CV) ADVANCE M/T,2025,Híbrido,32327,32250,140,Manual,Nissan,Évora,Évora,12/03/2025,https://www.amatoscar.pt/carro-usado/nissan-qashqai-novo-qashqai-dig-t-140-cv-advance-m-t-2772920069/,1
2026-09-14,2772920068,BR77PH,Nissan,Qashqai NOVO QASHQAI DIG-T (140 CV) ADVANCE M/T,2025,Híbrido,26024,32250,140,Manual,Nissan,Évora,Évora,12/03/2025,https://www.amatoscar.pt/carro-usado/nissan-qashqai-novo-qashqai-dig-t-140-cv-advance-m-t-2772920068/,1
2026-09-14,2772920067,BG88UD,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 N-Connecta,2024,Híbrido,34584,25990,140,Manual,Nissan,Évora,Évora,31/01/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-n-connecta-2772920067/,1
2026-09-14,2772920066,BG19UE,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 N-Connecta,2024,Híbrido,34320,25990,140,Manual,Nissan,Évora,Évora,31/01/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-n-connecta-2772920066/,1
2026-09-14,2772920064,BJ70RX,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 N-Connecta LED + TT,2024,Gasolina,37179,26490,140,Manual,Nissan,Évora,Évora,21/05/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-n-connecta-led-tt-2772920064/,1
2026-09-14,2772920062,BJ13RZ,Nissan,Qashqai 1.3 140CV mHEV MT 4×2 N-Connecta LED + TT,2024,Gasolina,32793,26490,140,Manual,Nissan,Évora,Évora,21/05/2024,https://www.amatoscar.pt/carro-usado/nissan-qashqai-1-3-140cv-mhev-mt-4x2-n-connecta-led-tt-2772920062/,1
2026-09-14,2772920061,BQ18MO,Nissan,JUKE 1.0 DIG-T 114cv Acenta+,2025,Gasolina,23934,21490,114,Manual,Nissan,Évora,Évora,27/01/2025,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-acenta-2772920061/,1
2026-09-14,2772920060,BQ82MN,Nissan,JUKE 1.0 DIG-T 114cv Acenta+,2025,Gasolina,37212,21450,114,Manual,Nissan,Évora,Évora,27/01/2025,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-acenta-2772920060/,1
2026-09-14,2772920059,BG86UF,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta,2024,Gasolina,33261,19990,114,Manual,Nissan,Évora,Évora,31/01/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-2772920059/,1
2026-09-14,2772912897,BH01FI,Nissan,JUKE 1.0 DIG-T 114cv Acenta,2024,Gasolina,38041,17990,114,Manual,Nissan,Évora,Évora,20/02/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-acenta-2772912897/,1
2026-09-14,2772904382,BU31NZ,BYD,Seal U DM-i SEAL U DM-i Comfort,2025,Híbrido,20010,39990,218,Automática,BYD,Évora,Évora,25/06/2025,https://www.amatoscar.pt/carro-usado/byd-seal-u-dm-i-seal-u-dm-i-comfort-2772904382/,1
2026-09-14,2772904378,BU77NX,BYD,Seal U DM-i SEAL U DM-i Comfort,2025,Híbrido,16520,39990,218,Automática,BYD,Évora,Évora,25/06/2025,https://www.amatoscar.pt/carro-usado/byd-seal-u-dm-i-seal-u-dm-i-comfort-2772904378/,1
2026-09-14,2772879145,BJ61RB,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta TT,2024,Gasolina,50141,19990,114,Manual,Nissan,Évora,Évora,20/05/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-tt-2772879145/,1
2026-09-14,2772879142,BG74UD,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta,2024,Gasolina,53083,19990,114,Manual,Nissan,Évora,Évora,31/01/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-2772879142/,1
2026-09-14,2772879140,BG24UG,Nissan,JUKE 1.0 DIG-T 114cv Acenta DCT,2024,Gasolina,38326,20490,114,Automática,Nissan,Évora,Évora,31/01/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-acenta-dct-2772879140/,1
2026-09-14,2772325802,BJ93RA,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta DCT,2024,Gasolina,49150,21490,114,Automática,Nissan,Évora,Évora,20/05/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-dct-2772325802/,1
2026-09-14,2772325801,BJ46RB,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta DCT,2024,Gasolina,40372,21950,114,Automática,Nissan,Évora,Évora,20/05/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-dct-2772325801/,1
2026-09-14,2772280634,BH69MF,Nissan,JUKE 1.0 DIG-T 114cv N-Connecta TT DCT,2024,Gasolina,35173,21490,114,Automática,Nissan,Évora,Évora,28/02/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-n-connecta-tt-dct-2772280634/,1
